model_type,interval,architecture,inference_time_us,throughput_per_sec,model_size_kb
Linear Regression,0.5s,-,50.959800002601696,19623.310922510413,0.15625
Linear Regression (Sparse),1.0s,-,49.96130000290577,20015.49198963677,0.15625
Linear Regression (Sparse),2.0s,-,51.07910000151605,19577.4788508474,0.15625
Linear Regression (Sparse),5.0s,-,49.11240000001271,20361.456577152432,0.15625
Linear Regression (Sparse),10.0s,-,51.41139999977895,19450.938896904183,0.15625
Linear Regression (Sparse),20.0s,-,51.86520000279416,19280.750868523144,0.15625
Linear Regression (Sparse),30.0s,-,51.31759999858332,19486.49196430866,0.15625
Linear Regression (Sparse),60.0s,-,51.509699998860015,19413.819145173267,0.15625
XGBoost,5.0s,-,522.203399999853,1914.9626371645247,422.3837890625
XGBoost,10.0s,-,559.3919999992067,1787.655168471158,422.3837890625
XGBoost,20.0s,-,561.2218999995093,1781.8264041386738,422.3837890625
XGBoost,30.0s,-,532.442900002934,1878.13566486564,422.3837890625
XGBoost,60.0s,-,529.4608000003791,1888.71395200416,422.3837890625
Neural Network,0.5s,"[128, 64, 32]",65610.22289999892,15.24152724681593,171.99609375
Neural Network,5.0s,"[32, 16]",58410.76319999775,17.120132407378623,36.859375
Neural Network,10.0s,"[32, 16]",62997.593000000044,15.87362234617439,36.859375
Neural Network,30.0s,"[64, 32]",63064.81780000103,15.8567016426072,60.6708984375
Neural Network,60.0s,"[32, 16]",63365.766800001446,15.781391917125466,36.8564453125
